Generation,Black,White
0,0.0581,0.2632
1,0.05454629494984212,0.25137466617921567
2,0.05610763035220025,0.24475234983405464
3,0.05671054732608001,0.24235734284308094
4,0.05686983065575749,0.24158427358054957
5,0.05690918315574519,0.2413421661213535
6,0.056918771323788024,0.24126698351439857
7,0.056921100529509494,0.24124369330193712
8,0.05692166598986906,0.2412364834515332
9,0.05692180324752484,0.2412342519789299
10,0.05692183656392517,0.24123356137092883
