n,sigma_u,Expected E[beta*],Avg Estimated beta*,Avg OLS SE
250,0,0.002,0.001998427275502801,0.0006352624267256692
250,5000,0.0016,0.0015746110908037366,0.0005685616389813675
250,15000,0.0006153846153846154,0.0006109225375576618,0.0003574787823439105
1000,0,0.002,0.0020028876538553965,0.00031712975609535194
1000,5000,0.0016,0.0015857907092087893,0.00028408777493902065
1000,15000,0.0006153846153846154,0.0006100131393488509,0.00017791828792557325
5000,0,0.002,0.001996563759284155,0.00014146898068071232
5000,5000,0.0016,0.0016014152912806603,0.00012704336145257734
5000,15000,0.0006153846153846154,0.0006128715979381635,7.95236823770057e-05
